sim_time,wall_time,battery_level,camera_connected,commanded_speed,commanded_status,human_distance,human_distance_true,human_pos,human_speed,human_waypoint,robot_offset,robot_pos,robot_pos_physical,robot_speed,robot_status,robot_x,robot_y,robot_z,sim_fallen,sim_seated,sim_unstable
15.850000,1784056764.154449,100,True,0.0,idle,5.0,5.004373683496719,"[5.000542004116256, 0.0034574622503127676, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[-0.003827865438478916, -0.002720949134654201, 0.7889508206786046]","[-0.003827865438478916, -0.002720949134654201, 0.7889508206786046]",0.0,idle,0.0,0.0,0.0,False,False,False
19.850000,1784056775.187316,99,True,0.0,idle,4.9,4.8996555429499296,"[4.897975737980584, 0.0033042708873034076, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[-0.0016769951113620259, -0.0019430774519516034, 0.7888162763343293]","[-0.0016769951113620259, -0.0019430774519516034, 0.7888162763343293]",40.0,moving,0.4,0.0,0.0,False,False,False
28.752000,1784056785.138535,98,True,40.0,moving,4.8,4.63412015248406,"[4.822618379942612, 0.0032952204018939974, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.1884983471888606, 0.004348638297186853, 0.783905892892089]","[0.1884983471888606, 0.004348638297186853, 0.783905892892089]",50.0,moving,0.9,0.0,0.0,False,False,False
36.002000,1784056788.848616,97,True,50.0,moving,4.7,4.388141427827357,"[5.336870678233651, 0.0012321728263028596, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.9487416538771732, 0.011665591009061786, 0.7862989829069839]","[0.9487416538771732, 0.011665591009061786, 0.7862989829069839]",50.0,moving,0.9,0.0,0.0,False,False,False
38.900000,1784056799.667101,96,True,50.0,moving,4.6,4.275574703713305,"[5.694961862687373, 0.0003686896825341509, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[1.4193871607518302, 0.0004919856881774936, 0.7824544778312004]","[1.4193871607518302, 0.0004919856881774936, 0.7824544778312004]",30.0,moving,0.6,0.0,0.0,False,False,False
47.350000,1784056803.694563,95,True,30.0,moving,4.5,4.684157655082371,"[7.091406120488028, 0.007114513554735507, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.40726463075805, -0.005191657946071616, 0.7892670938495386]","[2.40726463075805, -0.005191657946071616, 0.7892670938495386]",30.0,moving,0.6,0.0,0.0,False,False,False
50.600000,1784056811.588253,94,True,30.0,moving,4.4,4.403235503748045,"[6.819668588395316, 0.005972633969211197, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.4164647740471072, -0.010732777629627209, 0.7890860928090442]","[2.4164647740471072, -0.010732777629627209, 0.7890860928090442]",30.0,moving,0.6,0.0,0.0,False,False,False
57.250000,1784056820.300142,93,True,30.0,moving,4.3,4.575356096994927,"[6.715278797766684, 0.005594608884470279, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.1399882876261698, 0.030092815488179932, 0.7816881378197431]","[2.1399882876261698, 0.030092815488179932, 0.7816881378197431]",60.0,moving,1.2,0.0,0.0,False,False,False
63.850000,1784056823.765402,92,True,60.0,moving,4.2,3.7252825761853177,"[5.572592987264624, 0.03778720650194016, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[1.8482973990298808, 0.12353476556424492, 0.7867401119472689]","[1.8482973990298808, 0.12353476556424492, 0.7867401119472689]",60.0,moving,1.2,0.0,0.0,False,False,False
66.600000,1784056833.490916,91,True,60.0,moving,4.1,3.5156830510869885,"[6.145991972034997, 0.023092274118077044, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.6314723651835346, 0.1135314733458333, 0.7887277970185097]","[2.6314723651835346, 0.1135314733458333, 0.7887277970185097]",45.0,moving,1.65,0.0,0.0,False,False,False
74.650000,1784056840.870854,90,True,45.0,moving,4.0,3.6357694113271317,"[8.303161108975313, -0.054373451122660496, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[4.67025414918682, 0.08987021030606068, 0.7804424928215435]","[4.67025414918682, 0.08987021030606068, 0.7804424928215435]",0,stopped,1.65,0.0,0.0,False,False,False
80.102000,1784056848.917313,89,True,0,stopped,3.9,3.8759931560024143,"[8.996540318976216, -0.09187538564467633, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[5.126304663857367, 0.11930917634868944, 0.7884934148701256]","[5.126304663857367, 0.11930917634868944, 0.7884934148701256]",25.0,moving,1.4,0.0,0.0,False,False,False
