sim_time,wall_time,battery_level,camera_connected,commanded_speed,commanded_status,human_distance,human_distance_true,human_pos,human_speed,human_waypoint,robot_offset,robot_pos,robot_pos_physical,robot_speed,robot_status,robot_x,robot_y,robot_z,sim_fallen,sim_seated,sim_unstable
14.400000,1784127504.897218,100,True,0.0,idle,5.0,5.000238656007951,"[4.998196882952641, 0.0003886349059134415, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[-0.0020417674550231623, 0.00015198002158174615, 0.7891425343692172]","[-0.0020417674550231623, 0.00015198002158174615, 0.7891425343692172]",0.0,idle,0.0,0.0,0.0,False,False,False
18.000000,1784127508.583822,99,True,0.0,idle,4.9,4.899763154608101,"[4.897571390706398, 0.0003717685442823908, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[-0.0021916735463033245, -0.0005692097295213656, 0.7889503981021062]","[-0.0021916735463033245, -0.0005692097295213656, 0.7889503981021062]",40.0,moving,0.4,0.0,0.0,False,False,False
21.000000,1784127512.341454,98,True,40.0,moving,4.8,4.675310538185901,"[4.837953426812577, 0.00043914485653421924, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.16264611339661006, -0.005052083722992157, 0.7835057051780352]","[0.16264611339661006, -0.005052083722992157, 0.7835057051780352]",50.0,moving,0.9,0.0,0.0,False,False,False
23.952000,1784127516.200695,97,True,50.0,moving,4.7,4.408451570649037,"[4.886841039178607, 0.0005203960372133967, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.47844634172702455, 0.022913302028507606, 0.7815553107235235]","[0.47844634172702455, 0.022913302028507606, 0.7815553107235235]",50.0,moving,0.9,0.0,0.0,False,False,False
26.902000,1784127519.964749,96,True,50.0,moving,4.6,4.319102562906519,"[5.210776802736272, -0.0012883802719550683, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.8918385994872862, 0.036391129041244134, 0.7870316619716418]","[0.8918385994872862, 0.036391129041244134, 0.7870316619716418]",30.0,moving,0.6,0.0,0.0,False,False,False
29.902000,1784127523.293344,95,True,30.0,moving,4.5,4.60797679689074,"[5.484094849235566, -0.0038170538099271817, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.8763814093077399, 0.04544770227314244, 0.7887843230082289]","[0.8763814093077399, 0.04544770227314244, 0.7887843230082289]",30.0,moving,0.6,0.0,0.0,False,False,False
32.552000,1784127527.336815,94,True,30.0,moving,4.4,4.3876256309600175,"[5.2807538724286625, -0.0015653959129783915, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.8933770310993068, 0.04515857677910819, 0.7888503214453064]","[0.8933770310993068, 0.04515857677910819, 0.7888503214453064]",30.0,moving,0.6,0.0,0.0,False,False,False
35.652000,1784127531.342844,93,True,30.0,moving,4.3,4.6668909653260435,"[5.1868575432150426, -0.0005742581995671694, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.5207272318300581, 0.08368248880696116, 0.7859206709177036]","[0.5207272318300581, 0.08368248880696116, 0.7859206709177036]",60.0,moving,1.2,0.0,0.0,False,False,False
38.900000,1784127535.229068,92,True,60.0,moving,4.2,3.657748211833374,"[4.391592200022731, 0.01893663943710787, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[0.734437027208382, 0.0848003102086091, 0.7841624544306129]","[0.734437027208382, 0.0848003102086091, 0.7841624544306129]",60.0,moving,1.2,0.0,0.0,False,False,False
42.050000,1784127539.156832,91,True,60.0,moving,4.1,3.549571920883881,"[5.167634479403555, 0.006495067279499972, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[1.6184453197318571, 0.05862116819060941, 0.7888356053629655]","[1.6184453197318571, 0.05862116819060941, 0.7888356053629655]",45.0,moving,1.65,0.0,0.0,False,False,False
45.300000,1784127542.915599,90,True,45.0,moving,4.0,3.659681020460417,"[5.963479050649189, -0.004429396424639652, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.30434085911829, 0.05860128497876678, 0.7800360745469086]","[2.30434085911829, 0.05860128497876678, 0.7800360745469086]",0,stopped,1.65,0.0,0.0,False,False,False
48.350000,1784127546.751145,89,True,0,stopped,3.9,3.9458715447715886,"[6.32432404914662, -0.011935951742651385, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.379279613521559, 0.068851725423274, 0.7896830917100245]","[2.379279613521559, 0.068851725423274, 0.7896830917100245]",25.0,moving,1.4,0.0,0.0,False,False,False
51.400000,1784127550.739936,88,True,25.0,moving,3.8,3.8023384589887783,"[6.1600840450462195, -0.008797501151025011, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.358458041111582, 0.06480605116213013, 0.7893345754450947]","[2.358458041111582, 0.06480605116213013, 0.7893345754450947]",25.0,moving,1.4,0.0,0.0,False,False,False
54.500000,1784127554.537251,87,True,25.0,moving,3.7,3.95325250273632,"[6.051937474394452, -0.006765911038243741, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.0998712221678755, 0.09007255447396144, 0.7723962621517411]","[2.0998712221678755, 0.09007255447396144, 0.7723962621517411]",55.0,moving,1.95,0.0,0.0,False,False,False
57.600000,1784127558.557660,86,True,55.0,moving,3.5999999999999996,3.588076915360658,"[5.3917694497723705, 0.010789739551050073, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[1.8057062959659376, 0.1309854443658061, 0.7852814036119907]","[1.8057062959659376, 0.1309854443658061, 0.7852814036119907]",55.0,moving,1.95,0.0,0.0,False,False,False
60.850000,1784127562.358757,85,True,55.0,moving,3.5,3.04156961390112,"[5.583024497666958, 0.005300752124274166, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.543772224685183, 0.12400769118734166, 0.7873650504045046]","[2.543772224685183, 0.12400769118734166, 0.7873650504045046]",35.0,moving,2.3,0.0,0.0,False,False,False
63.800000,1784127566.889494,84,True,35.0,moving,3.4,3.3047201683806517,"[6.172394262120775, -0.01855079485322897, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.8706258233779884, 0.12109364013745649, 0.7833841623736113]","[2.8706258233779884, 0.12109364013745649, 0.7833841623736113]",35.0,moving,2.3,0.0,0.0,False,False,False
67.400000,1784127571.143658,83,True,35.0,moving,3.3,3.33584506752183,"[6.154071789251126, -0.017743718184232177, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.8250407426299877, 0.19536330925102396, 0.7869141794316977]","[2.8250407426299877, 0.19536330925102396, 0.7869141794316977]",40.0,moving,1.9,0.0,0.0,False,False,False
70.850000,1784127575.437036,82,True,40.0,moving,3.2,3.429018134883146,"[6.046078832123975, -0.010934957359038183, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.6238261874463213, 0.20436066580664153, 0.7863224523908463]","[2.6238261874463213, 0.20436066580664153, 0.7863224523908463]",50.0,moving,2.4,0.0,0.0,False,False,False
74.350000,1784127579.569926,81,True,50.0,moving,3.0999999999999996,2.7685445199208285,"[5.657158284527464, 0.012652535311925367, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[2.8950066505717036, 0.20068739861970686, 0.7841302526242641]","[2.8950066505717036, 0.20068739861970686, 0.7841302526242641]",0,stopped,2.4,0.0,0.0,False,False,False
77.700000,1784127583.664380,80,True,0,stopped,3.0,3.013999766990476,"[6.0613445009170555, -0.013031317069126996, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[3.053127856473161, 0.17358919495825254, 0.7866153590225902]","[3.053127856473161, 0.17358919495825254, 0.7866153590225902]",70.0,moving,3.1,0.0,0.0,False,False,False
81.002000,1784127588.039397,79,True,70.0,moving,2.9,2.276431101413501,"[6.005329999700543, -0.009261696103624484, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[3.734038383196064, 0.14362045550065744, 0.7867626587422628]","[3.734038383196064, 0.14362045550065744, 0.7867626587422628]",70.0,moving,3.1,0.0,0.0,False,False,False
84.602000,1784127592.258904,78,True,70.0,moving,2.8,2.277493155002714,"[7.0425064917652485, -0.09569437557220933, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[4.784643357066591, 0.20268313037113586, 0.782558239177765]","[4.784643357066591, 0.20268313037113586, 0.782558239177765]",30.0,moving,3.4,0.0,0.0,False,False,False
88.052000,1784127596.399300,77,True,70.0,moving,2.6999999999999997,2.064243354495966,"[7.786473685768696, -0.21218564530853085, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[5.759861190878224, 0.1801693242465596, 0.7887825794992323]","[5.759861190878224, 0.1801693242465596, 0.7887825794992323]",30.0,moving,3.4,0.0,0.0,False,False,False
91.452000,1784127600.675186,76,True,70.0,moving,2.5999999999999996,1.9455221967852596,"[8.73909946110328, -0.44531884233772623, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[6.892196259337404, 0.1662407880263954, 0.7830169169076234]","[6.892196259337404, 0.1662407880263954, 0.7830169169076234]",50.0,moving,3.9,0.0,0.0,False,False,False
94.952000,1784127604.809082,75,True,70.0,moving,2.5,1.896886408079172,"[9.664544296061132, -0.8582323324289443, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[8.055936728783426, 0.14703367199595513, 0.7816677418902058]","[8.055936728783426, 0.14703367199595513, 0.7816677418902058]",50.0,moving,4.4,0.0,0.0,False,False,False
98.352000,1784127609.111622,74,True,70.0,moving,2.2,1.7468348807070375,"[10.176009432990302, -1.3029362580788435, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[9.186549124420294, 0.13664715326602003, 0.7879219625019255]","[9.186549124420294, 0.13664715326602003, 0.7879219625019255]",60.0,moving,5.0,0.0,0.0,False,False,False
101.902000,1784127613.535807,73,True,70.0,moving,2.0,1.8992183160501488,"[10.32814214050482, -1.7614255451288092, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[10.365786040663954, 0.1374196694163816, 0.7870912206686199]","[10.365786040663954, 0.1374196694163816, 0.7870912206686199]",60.0,moving,5.0,0.0,0.0,False,False,False
105.552000,1784127617.813742,72,True,70.0,moving,1.8,2.112757474328696,"[10.376331123480893, -1.6046407281131407, 0.0]",0.0,None,"[0.0, 0.0, 0.0]","[11.371235454037599, 0.2592019472141745, 0.7800290526032746]","[11.371235454037599, 0.2592019472141745, 0.7800290526032746]",60.0,moving,5.0,0.0,0.0,False,False,False
